"language" "repetition" "vot" "consonant"
"english" 1 61.22 "t"
"english" 2 55.2 "t"
"english" 3 47.55 "t"
"english" 1 4.88 "d"
"english" 2 -0.95 "d"
"english" 3 11.36 "d"
"english" 1 18.18 "d"
"english" 2 16.66 "d"
"english" 3 18.07 "d"
"english" 1 11.06 "d"
"english" 2 17.27 "d"
"english" 3 10.27 "d"
"english" 1 82.86 "t"
"english" 2 53.69 "t"
"english" 3 48.69 "t"
"english" 1 61.73 "t"
"english" 2 53.87 "t"
"english" 3 50.49 "t"
"english" 1 53.25 "t"
"english" 2 38.53 "t"
"english" 3 57.76 "t"
"english" 1 22.36 "d"
"english" 2 14.76 "d"
"english" 3 12.97 "d"
"english" 1 15.36 "d"
"english" 2 20.56 "d"
"english" 3 10.63 "d"
"english" 1 29.21 "d"
"english" 2 7.91 "d"
"english" 3 19.82 "d"
"english" 1 58.75 "t"
"english" 2 65.61 "t"
"english" 3 47.95 "t"
"english" 1 56.67 "t"
"english" 2 58.43 "t"
"english" 3 55.26 "t"
"english" 1 62.25 "t"
"english" 2 46.39 "t"
"english" 3 38.32 "t"
"english" 1 23.79 "d"
"english" 2 22.5 "d"
"english" 3 24.14 "d"
"english" 1 16.57 "d"
"english" 2 17.2 "d"
"english" 3 23.98 "d"
"english" 1 17.01 "d"
"english" 2 0.68 "d"
"english" 3 0.53 "d"
"english" 1 50.26 "t"
"english" 2 71.56 "t"
"english" 3 47.67 "t"
"english" 1 42.64 "t"
"english" 2 59.14 "t"
"english" 3 56.34 "t"
"english" 1 42.64 "t"
"english" 2 66.42 "t"
"english" 3 50.27 "t"
"english" 1 11.37 "d"
"english" 2 14.99 "d"
"english" 3 15.99 "d"
"english" 1 1.94 "d"
"english" 2 20.82 "d"
"english" 3 20.94 "d"
"english" 1 16.04 "d"
"english" 2 30.93 "d"
"english" 3 12.88 "d"
"english" 1 59.01 "t"
"english" 2 45.33 "t"
"english" 3 55.35 "t"
"english" 1 60.71 "t"
"english" 2 55.28 "t"
"english" 3 49.57 "t"
"english" 1 53.21 "t"
"english" 2 55.42 "t"
"english" 3 49.18 "t"
"english" 1 14.18 "d"
"english" 2 15.11 "d"
"english" 3 18.97 "d"
"english" 1 12.33 "d"
"english" 2 7.7 "d"
"english" 3 20.83 "d"
"english" 1 6.5 "d"
"english" 2 18.98 "d"
"english" 3 24.5 "d"
"english" 1 74.8 "t"
"english" 2 49.46 "t"
"english" 3 62.58 "t"
"english" 1 55.5 "t"
"english" 2 57.71 "t"
"english" 3 42.99 "t"
"english" 1 49.69 "t"
"english" 2 63.78 "t"
"english" 3 58.45 "t"
"english" 1 14.3 "d"
"english" 2 20.11 "d"
"english" 3 15.61 "d"
"english" 1 20.8 "d"
"english" 2 9.71 "d"
"english" 3 16.4 "d"
"english" 1 9.42 "d"
"english" 2 11.83 "d"
"english" 3 8.83 "d"
"english" 1 65.19 "t"
"english" 2 56.59 "t"
"english" 3 46.14 "t"
"english" 1 49.33 "t"
"english" 2 68.72 "t"
"english" 3 34 "t"
"english" 1 60.38 "t"
"english" 2 52.54 "t"
"english" 3 36.88 "t"
"english" 1 15.89 "d"
"english" 2 16.79 "d"
"english" 3 19.9 "d"
"english" 1 17.58 "d"
"english" 2 8.85 "d"
"english" 3 17.96 "d"
"english" 1 19.37 "d"
"english" 2 16.45 "d"
"english" 3 6.75 "d"
"english" 1 62.68 "t"
